Country,Year,Life_Expectancy,Adult_Mortality,Infant_Mortality,Alcohol Consumption,Percentage_Expenditure,Hepatitis B,Measles,Under_Five_Deaths,Polio,Health_Expenditure,Diphtheria,HIV,GDP,population, thinness  10-19 years, thinness 5-9 years,Income composition of resources,Schooling
Burundi,2015,60.2172,296.1,46.3,3.99,38.46514511,94,93,67.86,94,6.29022646,94,0.36,289.3596272,10727148,7.3,7.2,0.406,4.3
Benin,2015,59.3771,246.3,63.29,1.53,21.84979057,74,67,97.87,72,2.67942166,74,0.45,1041.652523,10932783,6.9,6.8,0.481,5.42
Benin,2010,58.3627,256.7,69.65,1.35,24.17091942,76,68,109.1,77,2.99710202,76,0.68,1009.489495,9445710,7.8,7.6,0.451,4.57
Benin,2005,57.1252,283.7,76.61,1.24,23.26777649,70,61,121.6,73,2.93478227,70,1.1,805.9046853,8149419,8.7,8.6,0.43,3.85
Botswana,2015,63.8183,263.3,36.59,6.14,67.75788116,95,97,45.37,96,6.10287762,95,9.91,5869.737579,2305171,6.4,6.1,0.698,10.27
Central African Republic,2015,52.793,418.2,83.7,0.9,9.05484867,43,46,115.5,51,5.03434181,43,1.91,351.8797548,4819333,8.2,8.2,0.347,4.21
Cameroon,2015,59.658,355,57.09,4.55,10.12047958,78,74,88.12,77,3.59505081,78,1.85,1399.675336,23012646,5.6,5.5,0.514,7.05
Cameroon,2010,56.582,354.8,68.58,5.88,11.35888481,84,79,110.2,83,3.57742167,84,2.89,1383.813865,19878036,6.1,6.2,0.48,6.41
Cameroon,2005,54.3619,388.9,78.22,4.9,17.28415108,79,68,127.9,79,3.77274442,80,4.14,1129.357979,17275171,6.9,7,0.456,6.06
Algeria,2015,75.622,96.49,21.72,0.55,70.4593811,95,95,25.3,95,6.97849178,95,0.07,4197.419985,39543154,6,5.8,0.743,7.55
Algeria,2010,73.8081,104.4,23.89,0.35,69.48218536,95,95,27.81,95,5.11716986,95,0.03,4495.921476,35856344,5.9,5.8,0.714,7
Algeria,2005,72.0612,119.3,29,0.5,69.29087067,83,83,33.78,88,3.23516107,88,0.02,3131.32819,32956690,6.1,6,0.68,6.43
Gabon,2015,65.4599,228.2,35.32,8.06,58.90986633,80,68,50.4,79,2.65743947,80,1.39,7090.454634,2028517,6.1,5.9,0.694,9.53
Ghana,2015,63.1752,244.9,39.22,1.75,35.0822258,88,89,55.37,88,4.5429678,88,1.22,1711.271317,28870939,6.2,6.1,0.575,7.72
Ghana,2010,61.1571,269.5,47.4,1.6,56.07999802,94,93,69.84,94,4.22405624,94,1.43,1258.964197,25574719,7.1,7,0.547,7.66
Ghana,2005,59.7601,302.8,55.17,0.56,40.34791183,84,83,83.52,85,3.63137388,84,1.76,477.6010928,22496951,8.1,8.1,0.499,7.28
Kenya,2015,61.8922,231.7,33.08,1.65,40.38045883,89,96,45.86,83,4.76439571,89,1.9,1496.653573,46851488,7.8,7.6,0.55,6.28
Kenya,2010,60.649,285.3,38.51,1.52,28.96219444,90,86,56.07,90,5.38849831,90,3.09,1093.639624,41517895,8.2,8,0.523,6.47
Kenya,2005,57.344,437.7,47.4,0.88,26.39871979,76,69,75.99,70,3.12553811,76,4.18,522.7768402,35843010,8.6,8.5,0.474,6.48
Lesotho,2015,51.1014,498.3,63.21,3.07,59.29692841,83,93,82.49,85,8.95958614,83,18.93,1113.836835,2118521,5.5,5.3,0.495,6.44
Lesotho,2010,45.5955,477.8,67.04,2.75,56.44468689,93,88,93.03,92,8.35764122,93,22.85,1104.811547,2022747,7.2,7,0.464,6.08
Lesotho,2005,43.2325,637.1,72.3,1.94,48.25765228,87,83,116.5,88,5.44926691,89,27.19,850.7753155,1977424,9.3,9.2,0.437,7.21
Mali,2015,58.3632,277.5,70.15,0.62,22.35896111,71,66,115.6,67,4.11143351,71,0.67,723.5042049,18112907,7.7,7.5,0.438,2.78
Mali,2010,56.3817,282.8,78.4,0.6,14.29743481,72,78,134.1,77,4.67866755,73,0.87,688.3278659,15529181,8.8,8.5,0.396,2.14
Mali,2005,54.0029,302.4,88.74,0.55,26.89429283,83,73,157.8,78,5.19518089,77,1.2,473.9950468,13180551,9.9,9.7,0.338,1.81
Mauritania,2015,64.4847,204,37.25,0,38.62218857,73,70,48.94,67,3.67363763,73,0.25,1562.726836,3946220,7.8,7.5,0.513,5.1
Mauritius,2015,74.9754,147.8,12.88,2.83,41.67557907,97,99,14.6,98,5.69995832,97,1.16,9507.871337,1262879,6.9,6.8,0.779,9.9
Mauritius,2010,73.9987,162,12.55,3.15,44.14370346,99,99,14.62,99,4.57982159,99,1.63,8000.376432,1250400,7.2,7.2,0.74,9.44
Mauritius,2005,72.6748,163.8,13.38,3.83,48.18608093,97,98,15.63,97,3.56529307,97,1.75,5282.900111,1228254,7.7,7.6,0.704,8.16
Mauritius,2000,71.6366,171.8,16.61,4.58,53.52764893,88,84,18.85,88,2.89581966,88,1.97,3929.081782,1186873,8.1,8.1,0.667,7.07
Malawi,2015,61.3781,266.4,38.63,2.04,28.64990425,88,87,56.64,88,6.62879086,88,4.52,544.2768727,16938942,6.4,6.2,0.473,4.86
Malawi,2010,56.3806,366.3,52.02,1.69,22.00963974,93,93,83.02,86,5.14304781,93,7.11,688.1391912,14718422,6.8,6.7,0.43,5.01
Malawi,2005,52.0445,535.4,64.93,1.45,24.47987747,93,82,110.4,94,4.30046511,93,9.84,417.1022634,12755648,7.4,7.2,0.371,4.67
Namibia,2015,60.7002,295.8,33.27,2.63,42.20663452,92,85,46.25,92,9.98109627,92,8.11,4965.672765,2282704,8.2,8.1,0.637,6.64
Niger,2015,61.0827,257,61.27,0.12,20.7880249,84,85,120.2,83,5.34745932,84,0.1,481.1113011,20128124,9.6,9.4,0.351,2.44
Niger,2010,58.3668,269,65.85,0.11,26.44500732,70,67,133.3,75,4.96100473,70,0.14,471.612688,16647543,1.7,1.6,0.312,1.95
Rwanda,2015,65.2977,203.2,34.71,6.31,31.6441555,98,96,47.74,99,6.65446424,98,1.01,733.8874728,11642959,5.7,5.7,0.493,4.62
